Rk,Player,Tm,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,Signed Using,Guaranteed
201,Patrick Patterson\pattepa01,OKC,"$5,451,600 ","$5,711,200 ",,,,,MLE,"$5,451,600 "
202,Jason Smith\smithja02,NOP,"$5,450,000 ",,,,,,,"$5,450,000 "
203,Marcus Morris\morrima03,BOS,"$5,375,000 ",,,,,,Bird Rights,"$5,375,000 "
204,Trae Young\youngtr01,ATL,"$5,356,440 ","$6,273,000 ","$6,571,800 ","$8,326,471 ",,,1st Round Pick,"$11,629,440 "
205,Dwight Howard\howardw01,WAS,"$5,337,000 ","$5,603,850 ",,,,,MLE,"$10,940,850 "
206,DeMarcus Cousins\couside01,GSW,"$5,337,000 ",,,,,,MLE,"$5,337,000 "
207,Josh Smith\smithjo03,DET,"$5,331,729 ","$5,331,729 ",,,,,,"$10,663,458 "
208,Alexis Ajinca\ajincal01,LAC,"$5,285,394 ",,,,,,,"$5,285,394 "
209,Thabo Sefolosha\sefolth01,UTA,"$5,250,000 ",,,,,,Cap space,"$5,250,000 "
210,Aron Baynes\baynear01,BOS,"$5,193,600 ","$5,453,280 ",,,,,,"$5,193,600 "
211,Jaylen Brown\brownja02,BOS,"$5,169,960 ","$6,534,829 ",,,,,1st Rd pick,"$11,704,789 "
212,Patrick Beverley\beverpa01,LAC,"$5,027,028 ",,,,,,Bird Rights,"$5,027,028 "
213,Tony Parker\parketo01,CHO,"$5,000,000 ","$5,000,000 ",,,,,MLE,"$10,000,000 "
214,Mike Muscala\muscami01,LAL,"$5,000,000 ",,,,,,Cap space,"$5,000,000 "
215,Dirk Nowitzki\nowitdi01,DAL,"$5,000,000 ",,,,,,Cap Space,"$5,000,000 "
216,Jonathan Isaac\isaacjo01,ORL,"$4,969,080 ","$5,806,440 ","$7,362,566 ",,,,1st Round Pick,"$10,775,520 "
217,Mohamed Bamba\bambamo01,ORL,"$4,865,040 ","$5,697,600 ","$5,969,040 ","$7,568,742 ",,,1st Round Pick,"$24,100,422 "
218,Willie Cauley-Stein\caulewi01,SAC,"$4,696,875 ",,,,,,1st round pick,"$4,696,875 "
219,Dragan Bender\bendedr01,PHO,"$4,661,280 ",,,,,,1st Round pick,"$4,661,280 "
220,Ron Baker\bakerro01,NYK,"$4,544,400 ",,,,,,,"$4,544,400 "
221,Lauri Markkanen\markkla01,CHI,"$4,536,120 ","$5,300,400 ","$6,731,508 ",,,,1st Round Pick,"$9,836,520 "
222,Lance Stephenson\stephla01,LAL,"$4,449,000 ",,,,,,,"$4,449,000 "
223,Kyle O'Quinn\oquinky01,IND,"$4,449,000 ",,,,,,Room Exception,"$4,449,000 "
224,Ed Davis\davised01,BRK,"$4,449,000 ",,,,,,Room Exception,"$4,449,000 "
